Billing Tag,Client,Instance,Backupset,Subclient,Storage_Policy,Copy,FEB Size,FEA Size,Primary AppSize,Protected App Size,Media Size
Azure - PROD,CLPASQLSR006_AGClient,CLPASQLAG006/SQLAG006,defaultBackupSet,CLPASQLAG006/FULL,STP_AZU_PRD_CLPABKPSR005_GERAL,Primary,0.02,0.0,0.021,0.021,0.001
Azure - PROD,CLPASQLSR006_AGClient,CLPASQLAG006/SQLAG006,defaultBackupSet,CLPASQLAG006/FULL,STP_AZU_PRD_CLPABKPSR005_GERAL,Retention-1yr,0.0,0.0,0.0,0.0,0.0
Azure - PROD,clpassrssr006,DefaultInstanceName,defaultBackupSet,fs-clpassrssr006,STP_AZU_PRD_CLPABKPSR005_GERAL,Primary,0.0,0.0,0.0,0.0,0.0
Azure - PROD,clpassrssr006,DefaultInstanceName,defaultBackupSet,fs-clpassrssr006,STP_AZU_PRD_CLPABKPSR005_GERAL,Retention-1yr,0.0,0.0,0.0,0.0,0.0
Azure - PROD,clpassrssr006,Azure Resource Manager,defaultBackupSet,PRODUCAO-PROD,STP_AZU_PRD_CLPABKPSR005_VM,Primary,0.022,0.0,0.0,0.0,0.0
Azure - PROD,clpassrssr004,Azure Resource Manager,defaultBackupSet,PRODUCAO-PROD,STP_AZU_PRD_CLPABKPSR005_VM,Primary,0.023,0.0,0.0,0.0,0.0
Azure - PROD,clpassrssr004,DefaultInstanceName,defaultBackupSet,fs-clpassrssr004,STP_AZU_PRD_CLPABKPSR005_GERAL,Primary,0.0,0.0,0.0,0.0,0.0
Azure - PROD,clpassrssr004,DefaultInstanceName,defaultBackupSet,fs-clpassrssr004,STP_AZU_PRD_CLPABKPSR005_GERAL,Retention-1yr,0.0,0.0,0.0,0.0,0.0
DCCM - OnPremisses,CMPADSGSR003,VMware,defaultBackupSet,Cluster_PRDJB_CSPROD,#STP_DATACENTER_VM_01,Primary,0.344,0.0,0.0,0.0,0.0
Azure - PROD,VMTESTE,Azure Resource Manager,defaultBackupSet,TESTE-,STP_AZU_PRD_CLPABKPSR005_VM,Primary,0.005,0.0,0.0,0.0,0.0
